test_id,algorithm,sparsity,kind,skills,items,rep,seed,elapsed_time,timestamp
1,delineate_by_cheating,0.3,dis,5,50,1,1001,2.069999999977881,2025-09-16T10:27:35Z
2,delineate_by_cheating,0.5,dis,5,50,1,1002,2.320000000006985,2025-09-16T10:27:37Z
3,delineate_by_cheating,0.7,dis,5,50,1,1003,1.7300000000104774,2025-09-16T10:27:40Z
4,delineate_by_cheating,0.8,dis,5,50,1,1004,1.9799999999813735,2025-09-16T10:27:42Z
5,delineate_by_cheating,0.9,dis,5,50,1,1005,1.9400000000023283,2025-09-16T10:27:44Z
6,delineate_by_cheating,0.3,con,5,50,1,1006,1.790000000008149,2025-09-16T10:27:46Z
7,delineate_by_cheating,0.5,con,5,50,1,1007,1.6600000000034925,2025-09-16T10:27:48Z
8,delineate_by_cheating,0.7,con,5,50,1,1008,1.8900000000139696,2025-09-16T10:27:51Z
9,delineate_by_cheating,0.8,con,5,50,1,1009,1.7600000000093132,2025-09-16T10:27:53Z
10,delineate_by_cheating,0.9,con,5,50,1,1010,1.8999999999941792,2025-09-16T10:27:55Z
11,delineate_by_cheating,0.3,oth,5,50,1,1011,1.8800000000046568,2025-09-16T10:27:57Z
12,delineate_by_cheating,0.5,oth,5,50,1,1012,1.9400000000023283,2025-09-16T10:28:00Z
13,delineate_by_cheating,0.7,oth,5,50,1,1013,1.9800000000104776,2025-09-16T10:28:02Z
14,delineate_by_cheating,0.8,oth,5,50,1,1014,1.8699999999953432,2025-09-16T10:28:04Z
15,delineate_by_cheating,0.9,oth,5,50,1,1015,1.9499999999825377,2025-09-16T10:28:07Z
16,delineate_by_cheating,0.3,dis,10,50,1,1016,2.029999999998836,2025-09-16T10:28:09Z
17,delineate_by_cheating,0.5,dis,10,50,1,1017,2.0899999999965075,2025-09-16T10:28:12Z
18,delineate_by_cheating,0.7,dis,10,50,1,1018,1.9500000000116415,2025-09-16T10:28:14Z
19,delineate_by_cheating,0.8,dis,10,50,1,1019,2,2025-09-16T10:28:16Z
20,delineate_by_cheating,0.9,dis,10,50,1,1020,2.0100000000093132,2025-09-16T10:28:19Z
21,delineate_by_cheating,0.3,con,10,50,1,1021,1.7100000000209548,2025-09-16T10:28:21Z
22,delineate_by_cheating,0.5,con,10,50,1,1022,1.610000000015134,2025-09-16T10:28:23Z
23,delineate_by_cheating,0.7,con,10,50,1,1023,1.6600000000034925,2025-09-16T10:28:25Z
24,delineate_by_cheating,0.8,con,10,50,1,1024,1.709999999991851,2025-09-16T10:28:27Z
25,delineate_by_cheating,0.9,con,10,50,1,1025,1.820000000006985,2025-09-16T10:28:29Z
26,delineate_by_cheating,0.3,oth,10,50,1,1026,1.919999999983702,2025-09-16T10:28:31Z
27,delineate_by_cheating,0.5,oth,10,50,1,1027,1.8500000000058208,2025-09-16T10:28:33Z
28,delineate_by_cheating,0.7,oth,10,50,1,1028,1.919999999983702,2025-09-16T10:28:36Z
29,delineate_by_cheating,0.8,oth,10,50,1,1029,1.9899999999906868,2025-09-16T10:28:38Z
30,delineate_by_cheating,0.9,oth,10,50,1,1030,1.919999999983702,2025-09-16T10:28:40Z
31,delineate_by_cheating,0.3,dis,15,50,1,1031,2.2599999999802094,2025-09-16T10:28:43Z
32,delineate_by_cheating,0.5,dis,15,50,1,1032,2.7399999999906868,2025-09-16T10:28:46Z
33,delineate_by_cheating,0.7,dis,15,50,1,1033,2.9900000000197906,2025-09-16T10:28:49Z
34,delineate_by_cheating,0.8,dis,15,50,1,1034,3.6700000000128057,2025-09-16T10:28:54Z
35,delineate_by_cheating,0.9,dis,15,50,1,1035,2.8099999999976717,2025-09-16T10:28:57Z
36,delineate_by_cheating,0.3,con,15,50,1,1036,1.8000000000174623,2025-09-16T10:28:59Z
37,delineate_by_cheating,0.5,con,15,50,1,1037,1.8099999999976717,2025-09-16T10:29:01Z
38,delineate_by_cheating,0.7,con,15,50,1,1038,1.7300000000104774,2025-09-16T10:29:03Z
39,delineate_by_cheating,0.8,con,15,50,1,1039,1.679999999993015,2025-09-16T10:29:05Z
40,delineate_by_cheating,0.9,con,15,50,1,1040,1.7200000000011642,2025-09-16T10:29:07Z
41,delineate_by_cheating,0.3,oth,15,50,1,1041,2.2000000000116415,2025-09-16T10:29:10Z
42,delineate_by_cheating,0.5,oth,15,50,1,1042,2.040000000008149,2025-09-16T10:29:12Z
43,delineate_by_cheating,0.7,oth,15,50,1,1043,1.9499999999825377,2025-09-16T10:29:15Z
44,delineate_by_cheating,0.8,oth,15,50,1,1044,2.0199999999895226,2025-09-16T10:29:17Z
45,delineate_by_cheating,0.9,oth,15,50,1,1045,1.919999999983702,2025-09-16T10:29:19Z
46,delineate_by_cheating,0.3,dis,20,50,1,1046,4.260000000009313,2025-09-16T10:29:24Z
47,delineate_by_cheating,0.5,dis,20,50,1,1047,18.529999999998836,2025-09-16T10:29:43Z
